SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
AIMP2	24	76184	0.000315026777276068
AIP	8	76114	0.000105105499645269
AIPL1	88	76160	0.00115546218487395
AIRE	273	76186	0.00358333552096186
AIRN	1	76130	1.31354262445816e-05
AJAP1	2	76042	2.6301254569843e-05
AJM1	18	76118	0.000236474946793137
AJUBA	9	76137	0.00011820796721699
AJUBA-DT	4	76104	5.25596552086618e-05
AK1	8	76112	0.000105108261509355
AK2	28	76115	0.00036786441568679
AK3	52	76165	0.000682728287271056
AK3P2	1	75788	1.31947010080752e-05
AK4	21	76112	0.000275909186462056
AK4P3	5	76124	6.56823078135673e-05
AK5	5	76158	6.56529845846792e-05
AK6	50	76121	0.000656848964149184
AK7	71	76176	0.00093205208989708
AK8	137	76168	0.001798655603403
AK9	227	76178	0.00297986295255848
AKAIN1	6	76138	7.88042764454018e-05
AKAP1	29	76114	0.0003810074362141
AKAP1-DT	22	76188	0.000288759384680002
AKAP10	15	76115	0.000197070222689352
AKAP11	11	76104	0.00014453905182382
AKAP12	25	76114	0.000328454686391465
AKAP13	44	76121	0.000578027088451282
AKAP14	6	56111	0.000106930904813673
AKAP17A	9	76116	0.000118240580167113
AKAP17BP	178	56126	0.00317143569825037
AKAP3	45	76172	0.000590768261303366
AKAP4	1	55977.5	1.78643204859095e-05
AKAP5	8	76108	0.000105113785672991
AKAP6	25	76127	0.000328398597081193
AKAP7	40	76127	0.000525437755329909
AKAP8	22	76132	0.000288971785845637
AKAP8L	18	76120	0.00023646873357856
AKAP9	129	76153	0.00169395821569735
AKIP1	129	76162	0.00169375804206822
AKIRIN1	1	76032	1.31523569023569e-05
AKIRIN2	1	76077	1.31445772046742e-05
AKNA	75	76163	0.000984730118298912
AKNAD1	640	76176	0.00840159630329763
AKR1A1	83	76193	0.00108933891564842
AKR1B1	26	76097	0.000341669185381815
AKR1B10	140	76154	0.0018383801244846
AKR1B15	58	76173	0.000761424651779502
AKR1B1P6	1	76090	1.31423314495992e-05
AKR1C1	196	76170	0.00257319154522778
AKR1C2	106	76153	0.00139193465785983
AKR1C3	824	76176	0.0108170552404957
AKR1C4	68	76185	0.0008925641530485
AKR1C5P	81	76094	0.00106447288879544
AKR1C6P	199	76159	0.00261295447681824
AKR1C7P	4	76112	5.25541307546773e-05
AKR1C8P	1346	76149	0.0176758723029849
AKR1D1	40	76154	0.000525251464138456
AKR1E2	361	76174	0.00473914984115315
AKR7A2	391	76127	0.00513615405834986
AKR7A3	84	76089	0.00110397035051059
AKR7L	86	76164	0.001129142376976
AKT1	7	76102	9.19818138813697e-05
AKT1S1	63	76179	0.000826999566809751
AKT2	4	76122	5.25472268201046e-05
AKT3	2	76133	2.62698172934207e-05
AKTIP	4	76100	5.25624178712221e-05
ALAD	6	76125	7.88177339901478e-05
ALAS1	79	76148	0.00103745338025949
ALAS2	2	55779.5	3.58554666140786e-05
ALB	22	76102	0.000289085700770019
ALCAM	6	76159	7.87825470397458e-05
ALDH16A1	106	76191	0.00139124043522201
ALDH18A1	21	76145	0.000275789611924618
ALDH1A1	4	76086	5.25720894776963e-05
