SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
ANKRD33	924	730947	0.00126411354037981
ANKRD33B	133	692745	0.000191989837530404
ANKRD33B-AS1	3	76022	3.94622609244692e-05
ANKRD34A	81	730945	0.000110815451230941
ANKRD34B	481	730947	0.000658050446886026
ANKRD34C	62	699703	8.86090241145172e-05
ANKRD34C-AS1	7	76093	9.19926931518011e-05
ANKRD35	5312	730945	0.00726730465356491
ANKRD36	10787	730616	0.0147642537256233
ANKRD36B	271	730928	0.000370761552437449
ANKRD36BP2	199	728975	0.000272986042045338
ANKRD36C	488	730781	0.000667778718932211
ANKRD37	280	730936	0.000383070474022349
ANKRD39	127	730940	0.000173748871316387
ANKRD40	145	730947	0.000198372795838823
ANKRD40CL	99	271112	0.000365162737171354
ANKRD42	1037	730932	0.00141873662666295
ANKRD42-DT	43	711161	6.0464508036858e-05
ANKRD44	137	730947	0.000187428089861508
ANKRD44-IT1	12	76115	0.000157656178151481
ANKRD45	180	730935	0.000246259927353321
ANKRD46	3985	730947	0.00545183166494972
ANKRD49	222	730942	0.000303717668433337
ANKRD49P4	3	76096	3.94238856181665e-05
ANKRD50	176	730947	0.000240783531500916
ANKRD52	22	730849	3.01019772894264e-05
ANKRD53	1175	730944	0.00160751028806584
ANKRD54	218	730927	0.000298251398566478
ANKRD55	868	730947	0.00118750059853861
ANKRD6	509	730856	0.000696443622273061
ANKRD60	2842	699975	0.00406014500517876
ANKRD61	924	699471	0.00132099829728466
ANKRD62	511	698792	0.00073126194919232
ANKRD62P1	18	655844	2.74455510761706e-05
ANKRD62P1-PARP4P3	999	655844	0.00152322808472747
ANKRD63	115	691407	0.000166327503192765
ANKRD65	1027	699228	0.00146876269256952
ANKRD66	188	699701	0.000268686195960846
ANKRD7	470	730944	0.000643004115226337
ANKRD9	435	712582	0.00061045605979382
ANKS1A	201	730946	0.000274986113885294
ANKS1B	133	730837	0.000181983123459814
ANKS3	291	730947	0.00039811367992481
ANKS4B	185	730947	0.000253096325725395
ANKS6	557	730943	0.00076202932376396
ANKUB1	874	699960	0.0012486427795874
ANKZF1	1492	730946	0.0020411904572978
ANLN	1272	730945	0.00174021301192292
ANO1	331	730851	0.000452896691664922
ANO1-AS1	13	711446	1.82726447263742e-05
ANO10	2022	730946	0.00276627822027893
ANO2	2078	730853	0.0028432530207853
ANO3	565	730944	0.000772973032133789
ANO3-AS1	20	76057	0.000262960674231169
ANO4	354	730939	0.000484308540110734
ANO5	4640	730936	0.00634802499808465
ANO6	1204	730939	0.00164719627766476
ANO7	21804	730946	0.0298298369510196
ANO7L1	64	76180	0.000840115515883434
ANO8	781	730944	0.00106848130636547
ANO9	3495	730708	0.00478303234671031
ANOS1	39	549028.5	7.10345637794759e-05
ANP32A	6	730944	8.20856317310218e-06
ANP32B	23	730907	3.146775171123e-05
ANP32C	277	730695	0.00037909113925783
ANP32D	118	730943	0.000161435296596315
ANP32E	87	730844	0.000119040451861136
ANPEP	843	730947	0.0011532983923595
ANTKMT	884	730026	0.00121091577560251
ANTXR1	102	730946	0.000139545192120895
ANTXR2	962	730809	0.00131634941551076
ANTXRL	1285	692117	0.00185662250746622
ANTXRLP1	34	670324	5.07217405314445e-05
ANXA1	794	730815	0.00108645826919261
ANXA10	893	730941	0.00122171283318353
ANXA11	735	730940	0.00100555449147673
ANXA13	433	730946	0.000592383021454389
ANXA2	127	730936	0.000173749822145851
ANXA2R	273	730947	0.000373488091475853
ANXA3	751	730805	0.00102763391055069
ANXA4	387	730930	0.000529462465625983
ANXA5	1347	730887	0.00184296614935004
ANXA6	357	730849	0.000488472995105692
ANXA7	873	730943	0.00119434757566595
ANXA8	151	729812	0.000206902599573589
ANXA8L1	121	730764	0.000165580132573581
ANXA9	761	730947	0.00104111515609203
AOAH	4769	730943	0.00652444855481207
AOC1	608	730934	0.000831812448182736
AOC2	2797	730947	0.00382654282731853
AOC3	1452	730947	0.00198646413488256
AOC4P	46	691673	6.65054151311386e-05
AOPEP	1250	730947	0.00171011030895537
AOX1	3583	730946	0.00490186689577616
AOX2P	392	76186	0.00514530228650933
AOX3P	603	76171	0.00791639862939964
AOX3P-AOX2P	540	76186	0.00708791641508939
AP1AR	248	730771	0.000339367599425812
AP1B1	127	730946	0.000173747445091703
AP1B1P1	9	215598	4.17443575543372e-05
AP1G1	21	730925	2.87307179259158e-05
AP1G2	5054	730947	0.00691431800116835
AP1G2-AS1	144	654561	0.000219994775124091
AP1M1	112	730944	0.000153226512564574
AP1M2	1625	730862	0.00222340195549912
AP1S1	180	730801	0.000246305081684344
AP1S2	6	546446	1.09800419437602e-05
AP1S3	108	730926	0.000147757775752949
AP2A1	120	730841	0.000164194400697279
AP2A2	326	730846	0.000446058403548764
AP2B1	124	730944	0.000169643638910778
AP2M1	67	730943	9.16624141690939e-05
AP2S1	11	730936	1.50491971937352e-05
AP3B1	266	730942	0.000363913963077782
AP3B2	260	730855	0.000355747720136005
AP3D1	172	730884	0.00023533146162729
AP3M1	179	730945	0.000244888466300474
AP3M2	323	730945	0.000441893712933258
AP3S1	57	730616	7.80163587986028e-05
AP3S2	340	730943	0.000465152549514805
AP4B1	692	730947	0.000946717067037692
AP4B1-AS1	330	730920	0.000451485798719422
AP4E1	839	730930	0.00114785273555607
AP4M1	649	730946	0.000887890487122168
AP4S1	431	730856	0.000589719452258721
AP5B1	602	730507	0.00082408519014876
AP5M1	457	730942	0.000625220605738896
AP5S1	192	730943	0.000262674380902478
AP5Z1	2138	730836	0.00292541691980143
APAF1	794	730947	0.00108626206824845
APBA1	236	730946	0.000322869268044425
APBA2	94	730933	0.000128602758392356
APBA3	1775	730561	0.00242963968785632
APBB1	83	730945	0.000113551635211952
APBB1IP	196	730945	0.000268146030139067
APBB2	532	730947	0.000727822947491405
APBB3	409	730945	0.000559549624116726
APC	275	730942	0.000376226841527782
APC2	575	730613	0.000787010359793762
APCDD1	117	730947	0.000160066324918223
APCDD1L	693	730936	0.000948099423205315
APCDD1L-DT	148	123195	0.00120134745728317
APCS	1146	730931	0.00156786345085925
APEH	424	730946	0.000580070210384898
APELA	19	123341	0.000154044478316213
APEX1	951	730947	0.00130105192305324
APEX2	23	549123.5	4.18849311675789e-05
APH1A	66	730947	9.02938243128435e-05
APH1B	640	730943	0.000875581269674927
API5	16	730885	2.18912688042579e-05
APIP	4550	730921	0.0062250229504967
APLF	1634	730913	0.00223556018294927
APLN	4	546178	7.32361977230866e-06
APLNR	167	730946	0.000228471049844995
APLP1	194	730942	0.000265410935477781
APLP2	154	730946	0.000210685878300175
APMAP	372	730945	0.000508930220468024
APOA1	97	730932	0.000132707283304056
APOA1-AS	2	730922	2.73627008080206e-06
APOA2	72	730947	9.85023537958292e-05
APOA4	511	730945	0.000699095007148281
APOA5	631	730947	0.00086326368396067
APOB	2346	730946	0.00320953941878059
APOBEC1	3210	730945	0.00439157528952247
APOBEC2	204	730947	0.000279090002421516
APOBEC3A	246	730922	0.000336561219938653
APOBEC3B	1292	726843	0.00177755031003944
APOBEC3B-AS1	335	710831	0.000471279389897177
APOBEC3C	235	730947	0.000321500738083609
APOBEC3D	329	730946	0.000450101649095829
APOBEC3F	224	730946	0.000306452186618437
